PG,SG,SF,PF,C,G,F,UTIL
Brice Sensabaugh,Kelly Oubre Jr.,Kevin Huerter,Keyonte George,Kyle Filipowski,Shai Gilgeous-Alexander,Toumani Camara,Tyrese Maxey
Anfernee Simons,Kelly Oubre Jr.,Keyonte George,Kyle Filipowski,Paul George,Shai Gilgeous-Alexander,Toumani Camara,Zach Collins
Anfernee Simons,Brice Sensabaugh,Jamal Murray,Jerami Grant,KJ Martin,Kelly Oubre Jr.,Kyle Filipowski,Nikola Jokic
Anfernee Simons,Brice Sensabaugh,Isaiah Hartenstein,Johnny Juzang,Paul George,Trae Young,Tyler Herro,Zach Collins
Brice Sensabaugh,Cameron Johnson,Deni Avdija,Isaiah Collier,James Harden,Kevin Huerter,Kyle Filipowski,Tyrese Maxey
Brice Sensabaugh,Deni Avdija,Isaiah Collier,KJ Martin,Kevin Huerter,Kyle Filipowski,Nikola Jokic,Tyrese Maxey
Deni Avdija,Isaiah Collier,Kelly Oubre Jr.,Kyle Filipowski,Lonzo Ball,Nic Claxton,Paul George,Tyrese Maxey
Bam Adebayo,Brice Sensabaugh,Jerami Grant,Kris Dunn,Kyle Filipowski,Shai Gilgeous-Alexander,Tyrese Maxey,Zach Collins
Andrew Wiggins,Anfernee Simons,Deni Avdija,James Harden,KJ Martin,Kyle Filipowski,Tyrese Maxey,Zach Collins
Bam Adebayo,Deni Avdija,Isaiah Collier,Jamal Murray,James Harden,KJ Martin,Kyle Filipowski,Zach Collins
Anthony Edwards,Brice Sensabaugh,Deni Avdija,Isaiah Collier,Kyle Filipowski,Paul George,Tyrese Maxey,Zach Collins
