PG,SG,SF,PF,C,G,F,UTIL
AJ Green,Aaron Gordon,KJ Simpson,Karlo Matkovic,LOCKED,LOCKED,Max Christie,Zion Williamson
Aaron Gordon,KJ Simpson,Kevin Durant,LOCKED,LOCKED,Max Christie,Naji Marshall,Tyus Jones
Aaron Gordon,CJ McCollum,KJ Simpson,Karlo Matkovic,LOCKED,LOCKED,Max Christie,Naji Marshall
Aaron Gordon,Devin Booker,LOCKED,LOCKED,LOCKED,Moses Brown,Naji Marshall,Tyus Jones
Aaron Gordon,KJ Simpson,Karlo Matkovic,Kevin Durant,Klay Thompson,Max Christie,Trey Murphy III,Zion Williamson
AJ Green,Grayson Allen,Kevin Durant,LOCKED,LOCKED,Michael Porter Jr.,Tyus Jones,Zion Williamson
Aaron Gordon,Bol Bol,Christian Braun,Karlo Matkovic,LOCKED,Trey Murphy III,Tyus Jones,Zion Williamson
Bol Bol,Grayson Allen,KJ Simpson,Kevin Durant,Kyrie Irving,LOCKED,Naji Marshall,Nick Smith Jr.
AJ Green,Aaron Gordon,Bol Bol,LOCKED,LOCKED,Max Christie,Trey Murphy III,Tyus Jones
Devin Booker,Karlo Matkovic,Kevin Durant,Klay Thompson,LOCKED,Naji Marshall,Royce O'Neale,Tyus Jones
Aaron Gordon,Bol Bol,Devin Booker,LOCKED,LOCKED,LOCKED,LOCKED,Tyus Jones
