PG,SG,SF,PF,C,G,F,UTIL
Chris Paul,De'Aaron Fox,Devin Vassell,Jalen Duren,Jarrett Allen,Kevin Porter Jr.,Klay Thompson,Kyle Kuzma
Chris Paul,De'Aaron Fox,Gary Trent Jr.,Jalen Duren,Jarrett Allen,Kevin Porter Jr.,Max Christie,Zion Williamson
Cade Cunningham,Chris Paul,Devin Vassell,Karl-Anthony Towns,Kevin Porter Jr.,Klay Thompson,Santi Aldama,Tim Hardaway Jr.
Ausar Thompson,Cade Cunningham,Chris Paul,De'Aaron Fox,Devin Vassell,Kevin Porter Jr.,Tobias Harris,Wendell Carter Jr.
Cade Cunningham,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Max Christie,Wendell Carter Jr.,Zion Williamson
Bam Adebayo,Cade Cunningham,Devin Vassell,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Max Christie,Wendell Carter Jr.
Ausar Thompson,Cade Cunningham,Devin Vassell,Jalen Duren,Jordan Poole,Kevin Porter Jr.,Orlando Robinson,Tobias Harris
Chris Paul,Jalen Duren,Jarrett Allen,Jordan Poole,Kevin Porter Jr.,Klay Thompson,Max Christie,Paolo Banchero
Chris Paul,Devin Vassell,Jalen Duren,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,RJ Barrett,Zion Williamson
Chris Paul,De'Aaron Fox,Devin Vassell,Jarrett Allen,Kelly Olynyk,Kevin Porter Jr.,Scottie Barnes,Tobias Harris
Ausar Thompson,Cade Cunningham,De'Aaron Fox,Jalen Duren,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Max Christie
Bam Adebayo,Cade Cunningham,Chris Paul,Jarrett Allen,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Max Christie
