PG,SG,SF,PF,C,G,F,UTIL
Andrew Wiggins,Bam Adebayo,Chris Paul,Jarrett Allen,Julian Champagnie,Kevin Porter Jr.,Stephon Castle,Tyler Herro
Ausar Thompson,Darius Garland,De'Aaron Fox,Jalen Duren,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Zion Williamson
AJ Green,Bam Adebayo,Darius Garland,De'Aaron Fox,Jeremy Sochan,Kelly Olynyk,Kyrie Irving,Tim Hardaway Jr.
Bam Adebayo,Chris Paul,De'Aaron Fox,Miles McBride,Naji Marshall,Nikola Jovic,Wendell Carter Jr.,Zion Williamson
Bam Adebayo,Cade Cunningham,De'Aaron Fox,Duncan Robinson,Isaiah Stewart,Jarrett Allen,Jonathan Mogbo,Keldon Johnson
Ausar Thompson,De'Aaron Fox,Jose Alvarado,Kevin Porter Jr.,Klay Thompson,Kyrie Irving,PJ Washington,Zach Edey
Ausar Thompson,Bam Adebayo,Darius Garland,De'Aaron Fox,Gary Trent Jr.,Jalen Duren,Kelly Olynyk,Klay Thompson
Ausar Thompson,Darius Garland,Gary Trent Jr.,Jalen Duren,Kelly Olynyk,Khris Middleton,Kyrie Irving,PJ Washington
Ja Morant,Jarrett Allen,Kelly Olynyk,Kevin Porter Jr.,Kyrie Irving,Malik Beasley,Paolo Banchero,Ronald Holland II
Brook Lopez,Cade Cunningham,Chris Paul,Kelly Olynyk,Kevin Porter Jr.,Khris Middleton,Klay Thompson,Zion Williamson
AJ Green,Ausar Thompson,Cade Cunningham,Jarrett Allen,Jordan Poole,Kelly Olynyk,Khris Middleton,PJ Washington
Cade Cunningham,Devin Vassell,Goga Bitadze,Jalen Brunson,Kelly Olynyk,Kevin Porter Jr.,Simone Fontecchio,Zion Williamson
