PG,SG,SF,PF,C,G,F,UTIL
Chris Paul,De'Aaron Fox,Franz Wagner,Jalen Duren,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Kyle Kuzma
AJ Green,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Kyle Kuzma,Kyrie Irving,Tobias Harris,Trey Murphy III
Bam Adebayo,De'Aaron Fox,Harrison Barnes,Jaren Jackson Jr.,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Wendell Carter Jr.
Darius Garland,De'Aaron Fox,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,PJ Washington,RJ Barrett,Tobias Harris
Cade Cunningham,Gary Trent Jr.,Kelly Olynyk,Kevin Porter Jr.,Khris Middleton,Kyrie Irving,Paolo Banchero,Ryan Rollins
Cade Cunningham,Darius Garland,Devin Vassell,Kelly Olynyk,Khris Middleton,Kyle Kuzma,Precious Achiuwa,Ryan Rollins
Ausar Thompson,Bilal Coulibaly,Darius Garland,Kelly Olynyk,Kevin Porter Jr.,Scottie Barnes,Wendell Carter Jr.,Zion Williamson
Jordan Poole,Kelly Olynyk,Kyle Kuzma,Kyrie Irving,Max Christie,Max Strus,PJ Washington,Wendell Carter Jr.
Bam Adebayo,Darius Garland,De'Aaron Fox,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Orlando Robinson,Zion Williamson
Cade Cunningham,Dante Exum,De'Aaron Fox,Klay Thompson,Kyle Kuzma,Orlando Robinson,Tobias Harris,Wendell Carter Jr.
Bam Adebayo,Harrison Barnes,Immanuel Quickley,Kelly Olynyk,Kevin Porter Jr.,Kyrie Irving,Wendell Carter Jr.,Zion Williamson
Andrew Wiggins,Kelly Olynyk,Kevin Porter Jr.,Klay Thompson,Kyrie Irving,PJ Washington,Wendell Carter Jr.,Zion Williamson
Cade Cunningham,Dante Exum,Donovan Mitchell,Harrison Barnes,Kelly Olynyk,Kevin Porter Jr.,Paolo Banchero,Wendell Carter Jr.
AJ Green,Cade Cunningham,Devin Vassell,Jalen Duren,Kevin Porter Jr.,Orlando Robinson,PJ Washington,Paolo Banchero
Chris Paul,Devin Vassell,Jalen Brunson,Jalen Duren,Kevin Porter Jr.,Miles McBride,Paolo Banchero,Tobias Harris
Cade Cunningham,Devin Vassell,Jordan Poole,Kelly Olynyk,Kevin Porter Jr.,Max Christie,Ryan Rollins,Zion Williamson
